run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
1157.164778,-1.567429,1093.468245,947.425828,899.157463,-20.226383,9.704341,838.460151,1044.952311,1172.223957
25.866127,933.730782,32.57108,190.978222,10.967833,76.746322,1101.276383,1095.806042,32.77032,-38.469804
77.268289,917.385632,6.521337,11.687596,1015.335634,-41.850461,785.876364,1045.25451,41.29854,104.917425
1048.171845,1019.996906,128.121478,909.858996,1249.705762,-12.87772,-43.541265,-7.947523,23.563695,929.376613
33.359494,962.859949,896.416763,967.194571,63.968931,59.044496,63.536991,1140.983172,775.306016,47.753291
885.452368,971.442595,1013.108471,60.638934,59.800604,34.971954,8.023843,840.464887,-8.688826,-22.047426
852.061256,-3.959729,-12.235052,119.536261,53.4434,14.153907,1027.862718,971.212454,-23.529136,86.965201
63.836321,28.196945,13.687244,64.940948,1192.170479,84.372369,2.598226,96.146033,4.580698,-27.046102
917.473955,13.809311,-7.593941,76.03911,44.717194,30.349403,851.534457,-8.335218,14.604556,42.05074
47.4991,886.894549,-0.297647,9.364084,9.044119,-14.032871,57.348204,-1.969438,2.837031,844.688831
-27.734918,870.009296,28.701137,836.056046,22.663596,-8.076128,-30.976834,-52.11071,89.368564,-1.781423
9.917965,1041.94625,45.058228,59.047798,49.384417,842.16418,42.85429,-5.143177,39.304485,37.269735
-13.839357,-13.569012,33.864761,1235.622007,-13.251944,1040.343002,59.320542,8.229671,12.438885,797.495788
4.323217,67.987843,-26.445127,17.983321,946.890268,-52.059488,-4.357623,9.318499,1016.162572,713.657378
-16.024669,54.509883,982.092147,903.342664,75.64239,1007.965931,24.020987,987.915973,92.176146,911.123456
18.421802,36.969574,1117.744389,21.499046,6.539039,819.700498,66.871049,32.848702,46.126552,1047.804797
-28.910102,1316.439019,904.15608,27.740066,1129.402058,32.93684,-23.230504,2.118791,27.461053,1214.881977
819.576333,-1.232902,1.250219,1122.934817,17.009193,-21.490526,12.760829,-7.794296,14.383092,5.227937
24.536098,9.256764,-6.744201,17.190246,43.662091,35.563061,96.749273,0.331811,-9.838301,1183.508991
60.277755,24.579369,-4.565071,1164.372463,1248.024746,882.381008,17.059961,812.254837,1081.037798,-21.226277
87.130966,835.321911,-11.669613,-15.893806,1189.904816,14.967651,1284.78504,797.987004,7.35052,902.910557
42.131651,112.778528,1042.446518,978.034729,112.562649,24.989779,-22.809966,-15.961331,-4.459559,4.864396
54.015925,1201.728316,1223.606671,774.658095,59.081061,13.602092,1091.974424,46.204052,907.54209,891.139068
1216.42572,-12.883155,1090.569292,955.729246,-2.780817,-4.94052,-9.815862,42.207537,905.009816,-1.745918
1032.934919,110.899887,29.301819,820.7962,-15.091691,-9.237538,67.669497,-4.24862,840.00538,13.874511
-2.049871,1016.79928,1081.840294,-2.822405,66.52624,40.983624,36.794062,32.643794,85.079514,-9.982852
97.285877,-34.877916,-64.277536,-10.316373,72.845196,872.717587,1102.595381,917.081387,0.618678,942.212966
-5.502114,1116.80915,-22.183317,951.793519,106.029655,82.089033,45.937086,1193.842919,939.795603,31.452923
35.532533,885.106621,49.523521,1069.384947,-5.389149,1158.242882,-9.297391,852.052773,1080.570388,-7.297286
34.758252,3.611815,-16.4635,673.984746,-12.656392,1026.626113,819.249776,1205.460729,968.61444,-16.326162
27.457979,7.076514,1121.0543,872.423455,831.691027,858.188883,5.553407,13.446163,931.992413,-36.794646
3.490958,1.387242,838.49351,698.178215,41.465325,1.837942,19.878517,-39.190373,1049.757333,1202.152948
800.166197,-11.828868,-21.340584,944.760535,59.436848,-24.05873,0.739636,11.990576,668.566293,14.670764
-4.3141,28.138733,49.693851,784.399005,827.956881,12.964756,62.046417,10.874756,953.725304,1170.708867
-24.359904,26.279411,1034.160316,638.522285,993.206091,-24.948264,74.110682,809.058137,53.707479,869.893517
6.446109,28.664631,964.973224,809.535621,21.306132,-15.606895,-10.48747,1099.614333,-5.052818,9.763919
-22.408087,1240.676063,23.363533,22.935886,-24.42534,54.297833,-18.76063,889.686892,-10.879401,1053.802737
7.743269,1111.887591,1179.005974,702.741275,-2.965691,30.455652,916.083672,752.551416,1027.063212,1117.976281
37.962338,20.638974,898.917522,832.268024,859.277742,71.953587,-19.700581,818.556917,774.96531,1471.603118
863.597953,-19.053312,42.891442,732.40823,20.837103,1059.3237,48.342454,903.996549,-5.21618,979.199007
