run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
979.903712,-4.211401,1017.520436,1022.601764,914.293257,-13.038897,943.79065,45.35298,979.09104,58.116547
74.418082,5.971996,101.588928,815.780309,908.547814,-23.661177,941.96673,1110.477825,32.416598,1056.515573
-13.350236,848.213981,39.123592,-10.247981,1055.918566,77.159434,-28.544619,1089.838603,1046.740832,1103.782671
937.130419,1197.92409,1238.305539,11.150371,1016.583121,17.604597,-23.172518,128.978573,945.101341,82.880056
15.263259,-4.704524,6.240581,1083.937296,1048.414976,3.585063,-21.851211,-42.009929,-5.417919,68.442459
1135.886924,633.40096,115.232309,22.152418,979.810502,47.410547,70.359768,15.825842,7.52088,-0.137034
51.927428,1075.175128,12.552462,11.656256,88.476056,12.743636,-4.27111,992.470411,12.063206,886.35168
741.718301,137.120739,189.901167,1025.536048,9.749376,907.581559,-5.324364,20.141345,856.829477,957.639139
-12.54115,844.528504,839.328753,992.780529,2.016559,777.877831,16.851445,1013.530653,34.087628,1064.015344
1027.709403,891.056957,1022.788313,20.684249,1082.35904,941.328329,-16.521455,-15.58764,942.022094,42.404186
168.764434,1044.727344,-14.00797,925.345809,894.322567,-13.527746,1026.290624,1033.78149,22.336403,106.510973
3.591886,-26.163371,1217.346853,57.415123,893.818153,5.520632,-21.137607,58.849479,-23.57596,1021.255648
966.198219,39.255785,796.042851,76.747526,996.205286,46.207961,126.057839,18.011271,41.761786,994.371578
56.956031,29.804686,934.572099,23.228959,1105.09276,763.841532,14.674733,6.870669,1207.912957,1107.519752
44.740598,1008.635358,980.870472,32.397125,801.950702,34.624906,-16.972104,783.662657,21.575636,57.302294
37.463017,676.315458,19.412275,43.963343,165.51257,-5.302439,-25.504698,-31.733915,14.631339,878.84334
827.662434,86.081604,1043.991416,985.971742,66.938337,102.07737,-0.921746,-5.939967,59.251993,631.206399
1089.59486,75.737458,56.13184,746.569805,1021.188734,1114.199324,47.943416,7.306966,33.903131,16.112522
-26.411372,913.67498,3.590503,36.856402,948.960277,-5.222341,18.755121,11.686382,16.14213,742.328058
892.880408,1066.493596,-30.715555,1165.80511,28.736937,47.182531,-10.41022,-11.491177,180.846938,59.465381
868.457209,-6.314676,9.092777,-8.475248,-7.929331,19.642877,834.424779,986.094028,-16.31853,993.601613
48.838891,710.074164,0.571276,1034.882881,841.367022,-4.751368,-4.906405,21.833476,-5.168702,1227.023822
-28.805499,933.696374,38.94841,797.371501,671.079888,3.142033,858.480818,-51.117331,-12.139255,23.159339
996.549598,1094.299124,12.007013,72.295705,-3.862322,34.316298,1008.121873,792.357832,753.535904,1189.805724
-4.17429,979.212278,17.142157,74.13247,777.930023,1105.895889,942.183169,526.45841,30.412254,1325.1559
45.072265,958.127387,13.099747,947.619496,50.450576,-21.698413,941.761522,923.840306,1065.527879,864.834083
-32.28494,926.05815,51.124789,763.263444,678.899032,-5.384062,-20.708192,1040.540671,30.148868,1131.689628
-9.471964,107.978407,-0.129589,5.202533,1022.1137,874.654622,1011.159425,823.047441,-9.820041,1296.196921
1032.859677,1108.426835,30.004719,890.082478,803.535447,938.576459,1086.874446,1425.802332,1008.874655,752.962957
74.255518,433.356873,10.139499,909.252493,889.791375,39.690092,785.124855,561.229625,-5.476866,1055.836659
768.92022,1099.689934,976.606505,13.697377,841.87447,973.290043,783.984028,29.942791,986.78464,750.722796
863.103552,993.461945,-10.120335,1106.110755,806.170746,42.677239,-8.99713,26.501218,-31.822069,862.109576
62.768026,1082.291743,688.839874,143.530343,96.813752,48.626849,-7.9641,1108.99432,1089.807608,-16.147977
12.34838,554.109777,1083.92363,-31.597254,18.910025,18.991487,1041.899996,877.392665,-7.6618,867.29663
930.611941,689.623364,955.884579,932.531936,898.04419,854.92169,941.558819,762.558974,27.88185,992.556269
1284.906639,305.418805,9.81431,47.77263,727.643786,65.517611,1086.698478,1081.356694,922.299611,44.204295
-22.287417,638.054767,-10.998206,947.488338,-5.606906,64.805533,-24.099764,617.164812,909.008778,984.363356
27.609252,1134.515964,46.535056,1046.170607,651.535933,28.648953,641.62564,913.74821,770.526046,845.534765
1145.611556,-23.852676,4.953368,933.971055,204.070222,1259.444598,0.217989,730.13963,6.081188,993.04095
36.435161,946.866206,30.042138,14.566348,1100.165725,1.82216,749.034089,646.727248,897.173876,1039.502113
604.417559,998.31759,1335.2679,1104.813502,1010.674512,881.876648,860.532639,956.814344,76.38369,1081.790407
779.998737,994.083519,919.951702,274.842332,643.635247,-32.701691,84.115722,1090.551726,21.692937,77.487583
980.723807,699.354437,11.724833,986.382388,1098.105979,-3.419645,793.510214,995.205851,778.252514,1106.892751
32.254905,999.8812,-35.647555,848.173373,98.305006,106.082686,-28.502771,859.235313,36.675487,901.036962
56.740134,522.511858,578.546108,924.512422,748.900118,916.423009,116.145554,826.430732,632.818073,594.45235
1050.836019,517.042726,-37.524264,1077.234113,78.139648,907.394424,989.076075,950.363206,859.227201,978.299296
803.988266,1061.788009,13.832953,918.905096,490.211206,153.600608,60.155244,599.495997,806.192606,779.770206
29.165339,500.009309,844.15398,-16.400141,696.261289,823.295976,884.224978,552.638102,897.111505,924.795144
801.695469,589.219166,1006.820282,724.131677,962.815236,-20.045354,172.583176,942.973151,864.918053,54.072333
19.285838,758.056405,-37.583642,-12.926847,505.02168,831.40331,718.955739,761.024722,74.387394,46.077907
-8.486855,949.755384,-8.707739,824.854635,784.77101,48.871197,930.543025,547.51724,-21.859432,21.926581
651.693931,729.370895,1159.749621,727.536828,851.69789,731.766756,720.581802,899.294193,1062.017329,1017.137068
835.710898,516.982598,714.79481,786.224465,1277.029201,1024.519514,985.987475,708.342603,727.696135,1137.301507
592.052369,687.061744,34.049701,1033.435403,428.313103,96.039705,807.563969,891.884664,91.861518,949.667167
35.923586,739.903647,53.606791,998.357078,933.708608,805.121015,1006.353032,693.436518,958.828161,74.071432
1320.469891,818.936721,1160.310199,33.510424,-20.525318,715.197209,44.228047,650.266486,63.733781,778.075296
1149.273579,148.322793,1012.839749,1037.435517,689.306127,-40.052139,83.675815,633.053768,964.632637,897.322532
771.394862,794.747185,921.431064,1154.959163,772.38326,795.897619,755.323379,774.285952,1224.945796,68.148947
-47.753329,416.370146,1329.416929,817.037452,520.154815,1009.310485,935.071094,685.814302,759.248458,45.134618
896.447084,900.195796,162.92312,-4.950538,733.713645,-14.414921,786.367042,762.814912,594.625333,889.321701
727.437853,907.728874,28.213495,19.780246,814.136114,61.579001,91.847019,555.233449,999.78091,10.823895
929.454884,784.308284,7.831466,979.688508,735.446293,912.881341,795.893006,741.112726,846.215428,86.045599
47.055417,523.629092,1076.118257,837.359103,929.050907,971.564454,973.394348,523.313047,1074.09977,758.299894
620.369383,724.346441,-19.149878,1052.413857,535.147516,1163.847221,905.408088,1040.307329,4.727122,708.044402
1138.428639,759.975984,899.216322,834.384587,898.286621,859.368258,773.197882,514.053773,-7.353857,19.506718
11.285822,803.841707,967.208568,828.21766,742.162723,959.65294,313.800246,754.145158,1145.374798,45.746836
868.721625,734.467921,864.849959,46.718943,885.329466,1038.979791,24.35826,738.940162,165.456026,1056.847024
965.869582,1036.151329,862.029852,1185.020444,807.937092,72.882219,716.207564,772.905242,1016.744012,-22.894308
745.373405,870.931098,1094.14627,8.355582,667.166849,59.449145,762.727914,822.289677,1145.401897,27.508001
612.256515,733.508233,65.880346,982.401797,718.016814,0.376389,92.947084,551.52709,1038.582774,680.680237
782.655665,287.747453,-8.766462,48.683292,572.598365,14.103645,562.058379,539.176319,-14.870856,602.944243
635.62417,686.328522,1044.295519,1187.781672,814.47903,979.864048,774.357472,922.235166,827.698211,47.298409
72.51568,148.687196,36.938875,722.402936,859.482495,839.09641,3.704158,455.455015,748.171805,655.243106
708.221145,778.923561,56.905235,1037.578661,743.152693,1003.808965,-51.153643,568.242172,930.303523,1198.683491
616.130381,794.230367,-58.591381,63.319608,906.349577,1065.274655,943.862808,695.295452,878.182737,947.535849
635.931866,486.667634,1034.889845,659.991357,567.477194,1072.142252,715.882941,781.480645,1009.284769,887.541904
837.2593,412.767948,1271.383833,-28.495304,984.043493,1246.692384,1230.158666,798.627063,-15.242238,1055.647543
